Date,Time,DateTime,DateTime.Rounded,odo.sat,odo.mgL
6/21/19,12:00,2019-06-21 12:00:00,2019-06-21 12:00:00,98,10.06666667
6/28/19,11:30,2019-06-28 11:30:00,2019-06-28 11:30:00,99.5,10.17
7/5/19,13:45,2019-07-05 13:45:00,2019-07-05 13:50:00,99,9.976666667
7/19/19,10:00,2019-07-19 10:00:00,2019-07-19 10:00:00,93.9,9.59
7/26/19,10:10,2019-07-26 10:10:00,2019-07-26 10:10:00,96.225,9.5125
8/2/19,9:45,2019-08-02 09:45:00,2019-08-02 09:50:00,96.9,9.62
8/9/19,9:30,2019-08-09 09:30:00,2019-08-09 09:30:00,96.9,9.62
8/16/19,10:30,2019-08-16 10:30:00,2019-08-16 10:30:00,100.6,9.88
8/23/19,9:15,2019-08-23 09:15:00,2019-08-23 09:20:00,97.6,9.96
8/29/19,11:35,2019-08-29 11:35:00,2019-08-29 11:40:00,98.4,9.63
9/6/19,14:00,2019-09-06 14:00:00,2019-09-06 14:00:00,97.6,9.3
9/13/19,10:30,2019-09-13 10:30:00,2019-09-13 10:30:00,99.46,9.748
9/20/19,10:30,2019-09-20 10:30:00,2019-09-20 10:30:00,99.1,10.03
9/27/19,11:15,2019-09-27 11:15:00,2019-09-27 11:20:00,97.6,10.134
10/4/19,11:00,2019-10-04 11:00:00,2019-10-04 11:00:00,99.4,10.84
10/18/19,13:00,2019-10-18 13:00:00,2019-10-18 13:00:00,97.7,10.79
10/25/19,9:45,2019-10-25 09:45:00,2019-10-25 09:50:00,97.3,10.81
11/1/19,10:45,2019-11-01 10:45:00,2019-11-01 10:50:00,98.03333333,12.16333333
11/15/19,13:20,2019-11-15 13:20:00,2019-11-15 13:20:00,98.4,11.02
11/22/19,10:25,2019-11-22 10:25:00,2019-11-22 10:30:00,99.36666667,12.26
12/5/19,15:20,2019-12-05 15:20:00,2019-12-05 15:20:00,97.6,11.51
12/20/19,12:20,2019-12-20 12:20:00,2019-12-20 12:20:00,97.85,11.24333333
1/3/20,14:30,2020-01-03 14:30:00,2020-01-03 14:30:00,98.4,11.51
1/10/20,15:30,2020-01-10 15:30:00,2020-01-10 15:30:00,98.15,12.14
