Epoch.Sec,DateTime.sensor,DateTime.adj,BV.volts,Temp.C,DO.mgL,Q,Intensity.lumft2
1559852880,2019-06-06 20:28:00,2019-06-06 13:16:00,3.51,14.595,9.293,0.987,
1559853480,2019-06-06 20:38:00,2019-06-06 13:26:00,3.5,13.08,9.721,0.995,
1559854080,2019-06-06 20:48:00,2019-06-06 13:36:00,3.5,12.895,9.789,0.999,
1559854680,2019-06-06 20:58:00,2019-06-06 13:46:00,3.5,12.93,9.789,1,
1559855280,2019-06-06 21:08:00,2019-06-06 13:56:00,3.5,13.001,9.745,0.999,
1559855880,2019-06-06 21:18:00,2019-06-06 14:06:00,3.5,13.027,9.745,0.999,
1559856480,2019-06-06 21:28:00,2019-06-06 14:16:00,3.5,13.053,9.77,1.001,
1559857080,2019-06-06 21:38:00,2019-06-06 14:26:00,3.5,13.045,9.738,1,
1559857680,2019-06-06 21:48:00,2019-06-06 14:36:00,3.5,13.071,9.74,1,
1559858280,2019-06-06 21:58:00,2019-06-06 14:46:00,3.5,13.027,9.771,1,
1559858880,2019-06-06 22:08:00,2019-06-06 14:56:00,3.5,13.036,9.743,1,
1559859480,2019-06-06 22:18:00,2019-06-06 15:06:00,3.5,13.018,9.757,1,
1559860080,2019-06-06 22:28:00,2019-06-06 15:16:00,3.5,12.974,9.777,1.001,
1559860680,2019-06-06 22:38:00,2019-06-06 15:26:00,3.5,13.009,9.754,1,
1559861280,2019-06-06 22:48:00,2019-06-06 15:36:00,3.49,12.992,9.756,0.999,
1559861880,2019-06-06 22:58:00,2019-06-06 15:46:00,3.49,13.001,9.768,1.001,
1559862480,2019-06-06 23:08:00,2019-06-06 15:56:00,3.49,13.001,9.742,0.999,
1559863080,2019-06-06 23:18:00,2019-06-06 16:06:00,3.49,13.027,9.747,1,
1559863680,2019-06-06 23:28:00,2019-06-06 16:16:00,3.49,13.001,9.742,1,
1559864280,2019-06-06 23:38:00,2019-06-06 16:26:00,3.49,13.045,9.727,0.999,
1559864880,2019-06-06 23:48:00,2019-06-06 16:36:00,3.49,13.027,9.732,0.999,
1559865480,2019-06-06 23:58:00,2019-06-06 16:46:00,3.49,13.036,9.731,1,
1559866080,2019-06-07 00:08:00,2019-06-06 16:56:00,3.49,13.027,9.728,1,
1559866680,2019-06-07 00:18:00,2019-06-06 17:06:00,3.49,13.018,9.727,1,
1559867280,2019-06-07 00:28:00,2019-06-06 17:16:00,3.49,12.992,9.743,1,
1559867880,2019-06-07 00:38:00,2019-06-06 17:26:00,3.49,12.983,9.727,0.999,
1559868480,2019-06-07 00:48:00,2019-06-06 17:36:00,3.49,13.009,9.73,1,
1559869080,2019-06-07 00:58:00,2019-06-06 17:46:00,3.49,12.992,9.726,1,
1559869680,2019-06-07 01:08:00,2019-06-06 17:56:00,3.49,12.957,9.741,1,
1559870280,2019-06-07 01:18:00,2019-06-06 18:06:00,3.49,12.966,9.728,0.999,
1559870880,2019-06-07 01:28:00,2019-06-06 18:16:00,3.49,12.948,9.753,1.001,
1559871480,2019-06-07 01:38:00,2019-06-06 18:26:00,3.48,12.922,9.715,0.998,
1559872080,2019-06-07 01:48:00,2019-06-06 18:36:00,3.48,12.913,9.747,1,
1559872680,2019-06-07 01:58:00,2019-06-06 18:46:00,3.48,12.904,9.752,1,
1559873280,2019-06-07 02:08:00,2019-06-06 18:56:00,3.48,12.886,9.768,1.001,
1559873880,2019-06-07 02:18:00,2019-06-06 19:06:00,3.48,12.878,9.737,0.999,
1559874480,2019-06-07 02:28:00,2019-06-06 19:16:00,3.48,12.878,9.762,1.001,
1559875080,2019-06-07 02:38:00,2019-06-06 19:26:00,3.48,12.816,9.759,0.999,
1559875680,2019-06-07 02:48:00,2019-06-06 19:36:00,3.48,12.816,9.748,0.999,
1559876280,2019-06-07 02:58:00,2019-06-06 19:46:00,3.48,12.798,9.767,1,
1559876880,2019-06-07 03:08:00,2019-06-06 19:56:00,3.48,12.719,9.79,1,
