Epoch.Sec,DateTime.sensor,DateTime.adj,BV.volts,Temp.C,DO.mgL,Q,Intensity.lumft2
1559856660,2019-06-06 21:31:00,2019-06-06 14:19:00,3.54,19.009,8.314,0.929,
1559857260,2019-06-06 21:41:00,2019-06-06 14:29:00,3.54,14.067,9.608,0.935,
1559857860,2019-06-06 21:51:00,2019-06-06 14:39:00,3.54,13.806,9.724,0.936,
1559858460,2019-06-06 22:01:00,2019-06-06 14:49:00,3.54,13.632,9.751,0.936,
1559859060,2019-06-06 22:11:00,2019-06-06 14:59:00,3.54,13.58,9.764,0.936,
1559859660,2019-06-06 22:21:00,2019-06-06 15:09:00,3.54,13.562,9.786,0.937,
1559860260,2019-06-06 22:31:00,2019-06-06 15:19:00,3.54,13.588,9.777,0.937,
1559860860,2019-06-06 22:41:00,2019-06-06 15:29:00,3.54,13.527,9.768,0.936,
1559861460,2019-06-06 22:51:00,2019-06-06 15:39:00,3.54,13.466,9.788,0.936,
1559862060,2019-06-06 23:01:00,2019-06-06 15:49:00,3.54,13.492,9.792,0.937,
1559862660,2019-06-06 23:11:00,2019-06-06 15:59:00,3.54,13.405,9.782,0.936,
1559863260,2019-06-06 23:21:00,2019-06-06 16:09:00,3.54,13.352,9.789,0.936,
1559863860,2019-06-06 23:31:00,2019-06-06 16:19:00,3.54,13.317,9.814,0.936,
1559864460,2019-06-06 23:41:00,2019-06-06 16:29:00,3.54,13.361,9.783,0.936,
1559865060,2019-06-06 23:51:00,2019-06-06 16:39:00,3.54,13.344,9.782,0.936,
1559865660,2019-06-07 00:01:00,2019-06-06 16:49:00,3.54,13.274,9.801,0.936,
1559866260,2019-06-07 00:11:00,2019-06-06 16:59:00,3.54,13.221,9.811,0.936,
1559866860,2019-06-07 00:21:00,2019-06-06 17:09:00,3.54,13.239,9.779,0.935,
1559867460,2019-06-07 00:31:00,2019-06-06 17:19:00,3.54,13.125,9.821,0.936,
1559868060,2019-06-07 00:41:00,2019-06-06 17:29:00,3.54,13.081,9.839,0.936,
1559868660,2019-06-07 00:51:00,2019-06-06 17:39:00,3.54,13.098,9.841,0.936,
1559869260,2019-06-07 01:01:00,2019-06-06 17:49:00,3.54,13.081,9.845,0.937,
1559869860,2019-06-07 01:11:00,2019-06-06 17:59:00,3.54,13.019,9.833,0.936,
1559870460,2019-06-07 01:21:00,2019-06-06 18:09:00,3.54,13.046,9.829,0.936,
1559871060,2019-06-07 01:31:00,2019-06-06 18:19:00,3.54,13.081,9.804,0.936,
1559871660,2019-06-07 01:41:00,2019-06-06 18:29:00,3.54,13.037,9.832,0.936,
1559872260,2019-06-07 01:51:00,2019-06-06 18:39:00,3.54,13.01,9.831,0.936,
1559872860,2019-06-07 02:01:00,2019-06-06 18:49:00,3.54,13.072,9.803,0.936,
1559873460,2019-06-07 02:11:00,2019-06-06 18:59:00,3.54,12.94,9.847,0.936,
1559874060,2019-06-07 02:21:00,2019-06-06 19:09:00,3.54,12.931,9.848,0.936,
1559874660,2019-06-07 02:31:00,2019-06-06 19:19:00,3.54,12.94,9.844,0.936,
1559875260,2019-06-07 02:41:00,2019-06-06 19:29:00,3.54,12.905,9.86,0.936,
1559875860,2019-06-07 02:51:00,2019-06-06 19:39:00,3.54,12.905,9.842,0.935,
1559876460,2019-06-07 03:01:00,2019-06-06 19:49:00,3.54,12.843,9.856,0.936,
1559877060,2019-06-07 03:11:00,2019-06-06 19:59:00,3.54,12.817,9.865,0.936,
1559877660,2019-06-07 03:21:00,2019-06-06 20:09:00,3.54,12.79,9.861,0.936,
