Epoch.Sec,DateTime.sensor,DateTime.adj,BV.volts,Temp.C,DO.mgL,Q,Intensity.lumft2
1559858100,2019-06-06 21:55:00,2019-06-06 14:43:00,3.5,15.601,8.58,0.959,
1559858700,2019-06-06 22:05:00,2019-06-06 14:53:00,3.5,14.076,9.001,0.969,
1559859300,2019-06-06 22:15:00,2019-06-06 15:03:00,3.5,13.763,9.155,0.973,
1559859900,2019-06-06 22:25:00,2019-06-06 15:13:00,3.5,13.615,9.139,0.974,
1559860500,2019-06-06 22:35:00,2019-06-06 15:23:00,3.5,13.641,9.136,0.974,
1559861100,2019-06-06 22:45:00,2019-06-06 15:33:00,3.5,13.536,9.151,0.974,
1559861700,2019-06-06 22:55:00,2019-06-06 15:43:00,3.5,13.536,9.196,0.975,
1559862300,2019-06-06 23:05:00,2019-06-06 15:53:00,3.49,13.527,9.13,0.975,
1559862900,2019-06-06 23:15:00,2019-06-06 16:03:00,3.49,13.466,9.11,0.974,
1559863500,2019-06-06 23:25:00,2019-06-06 16:13:00,3.49,13.449,9.117,0.975,
1559864100,2019-06-06 23:35:00,2019-06-06 16:23:00,3.49,13.396,9.154,0.975,
1559864700,2019-06-06 23:45:00,2019-06-06 16:33:00,3.49,13.388,9.137,0.975,
1559865300,2019-06-06 23:55:00,2019-06-06 16:43:00,3.49,13.353,9.132,0.976,
1559865900,2019-06-07 00:05:00,2019-06-06 16:53:00,3.49,13.326,9.124,0.975,
1559866500,2019-06-07 00:15:00,2019-06-06 17:03:00,3.49,13.283,9.101,0.974,
1559867100,2019-06-07 00:25:00,2019-06-06 17:13:00,3.49,13.248,9.13,0.975,
1559867700,2019-06-07 00:35:00,2019-06-06 17:23:00,3.49,13.213,9.124,0.974,
1559868300,2019-06-07 00:45:00,2019-06-06 17:33:00,3.49,13.134,9.192,0.975,
1559868900,2019-06-07 00:55:00,2019-06-06 17:43:00,3.49,13.134,9.184,0.976,
1559869500,2019-06-07 01:05:00,2019-06-06 17:53:00,3.49,13.072,9.132,0.974,
1559870100,2019-06-07 01:15:00,2019-06-06 18:03:00,3.49,13.064,9.134,0.976,
1559870700,2019-06-07 01:25:00,2019-06-06 18:13:00,3.49,13.064,9.126,0.974,
1559871300,2019-06-07 01:35:00,2019-06-06 18:23:00,3.49,13.055,9.125,0.974,
1559871900,2019-06-07 01:45:00,2019-06-06 18:33:00,3.49,13.064,9.112,0.974,
1559872500,2019-06-07 01:55:00,2019-06-06 18:43:00,3.49,13.02,9.122,0.975,
1559873100,2019-06-07 02:05:00,2019-06-06 18:53:00,3.48,13.02,9.116,0.974,
1559873700,2019-06-07 02:15:00,2019-06-06 19:03:00,3.48,12.985,9.169,0.975,
1559874300,2019-06-07 02:25:00,2019-06-06 19:13:00,3.48,12.949,9.161,0.976,
1559874900,2019-06-07 02:35:00,2019-06-06 19:23:00,3.48,12.905,9.138,0.974,
1559875500,2019-06-07 02:45:00,2019-06-06 19:33:00,3.48,12.897,9.155,0.975,
1559876100,2019-06-07 02:55:00,2019-06-06 19:43:00,3.48,12.853,9.156,0.975,
1559876700,2019-06-07 03:05:00,2019-06-06 19:53:00,3.48,12.817,9.154,0.975,
1559877300,2019-06-07 03:15:00,2019-06-06 20:03:00,3.48,12.8,9.162,0.976,
1559877900,2019-06-07 03:25:00,2019-06-06 20:13:00,3.48,12.773,9.137,0.974,
1559878500,2019-06-07 03:35:00,2019-06-06 20:23:00,3.48,12.747,9.142,0.974,
1559879100,2019-06-07 03:45:00,2019-06-06 20:33:00,3.48,12.703,9.157,0.975,
1559879700,2019-06-07 03:55:00,2019-06-06 20:43:00,3.48,12.659,9.154,0.974,
1559880300,2019-06-07 04:05:00,2019-06-06 20:53:00,3.48,12.597,9.167,0.973,
